id_usuario,nombre_usuario,id_libro,titulo_libro,fecha_prestamo,fecha_devolucion
1002,Carlos Ramírez,LIB001,El Principito,2025-09-04,
1028,Isabella Rodríguez,LIB044,Crónica del Pájaro,2025-09-05,2025-11-10
1029,Fernando de la Cruz,LIB045,El Juego de Ender,2025-09-06,
1001,Ana López,LIB001,El Principito,2025-09-07,
1030,Valentina Moreno,LIB046,Fundación,2025-09-08,2025-11-15
1031,Santiago Herrera,LIB047,Dune: El Mesías del Desierto,2025-09-09,
1032,Camila Ruiz,LIB048,Neuromante,2025-09-10,2025-11-20
1001,Ana López,LIB049,¿Sueñan los Androides?,2025-09-11,
1033,Diego Alejandro Vega,LIB050,Blade Runner & Electric Dreams,2025-09-12,2025-11-25
1034,Sofía Elena Castro,LIB001,El Principito,2025-09-13,
1035,Andrés Felipe Morales,LIB051,El Marciano,2025-09-14,2025-12-01
1001,Ana López,LIB052,Contacto: Carl Sagan,2025-09-15,
1036,Patricia Isabel Jiménez,LIB053,2001: Odisea del Espacio,2025-09-16,2025-12-05
1037,Miguel Ángel Torres,LIB054,La Guerra de los Mundos,2025-09-17,
1002,Carlos Ramírez,LIB055,La Máquina del Tiempo,2025-09-18,2025-12-10
1001,Ana López,LIB001,El Principito,2025-09-19,
1038,Gabriela Esperanza Luna,LIB056,El Hombre Invisible,2025-09-20,
1039,Ricardo Javier Paz,LIB057,Dr. Jekyll y Mr. Hyde,2025-09-21,2025-12-15
1040,Daniela Carolina Soto,LIB058,Frankenstein: Mary Shelley,2025-09-22,
1001,Ana López,LIB059,Drácula: Bram Stoker,2025-09-23,
1041,Alejandro David Ruiz,LIB060,El Extraño Caso del Dr. Jekyll,2025-09-24,2025-12-20
1042,Natalia Andrea Vásquez,LIB001,El Principito,2025-09-25,
1043,Julián Sebastián Moreno,LIB061,El Retrato de Dorian Gray,2025-09-26,
1001,Ana López,LIB062,El Fantasma de la Ópera,2025-09-27,2026-01-10
1044,Valentina María Herrera,LIB063,Notre-Dame de París,2025-09-28,
1045,Sebastián Andrés Castro,LIB064,Los Miserables (Abreviado),2025-09-29,2026-01-15
1002,Carlos Ramírez,LIB001,El Principito,2025-09-30,
1046,Carolina Isabel Morales,LIB065,El Conde de Montecristo,2025-10-01,
1001,Ana López,LIB066,Los Tres Mosqueteros,2025-10-02,2026-01-20
